center_to_line,line_in_sphere,line_in_cube
0.241235,0.875912,1.09686
0.273766,0.836784,1.12901
0.473152,0.323279,0.998844
0.314125,0.778012,1.33625
0.440204,0.474217,1.29403
0.283931,0.823124,1.0863
0.344,0.725711,1.08622
0.00832102,0.999862,1.33822
0.346177,0.721558,1.15101
0.202271,0.91452,1.1668
0.457556,0.403201,0.877657
0.244706,0.872052,1.17648
0.150753,0.953464,1.30387
0.286305,0.819828,1.0082
0.0794318,0.987301,1.22402
0.462787,0.378567,0.710699
0.203555,0.913379,1.30745
0.599986,0,0.883963
0.51149,0,0.487329
0.517627,0,0.611866
0.450196,0.435081,1.07418
0.448874,0.440509,1.02229
0.405137,0.586051,1.08782
0.284204,0.822746,1.01535
0.386314,0.63486,0.733323
0.131995,0.964526,1.23953
0.0824392,0.986314,1.23028
0.327557,0.75553,1.18866
0.128625,0.966345,1.32129
0.496343,0.120727,0.741874
0.214146,0.903641,1.16795
0.293285,0.809898,1.20423
0.399949,0.600135,1.05293
0.0280576,0.998424,1.25972
0.15727,0.949244,1.20626
0.384876,0.638344,1.0153
0.251961,0.86375,1.0836
0.624522,0,0.579485
0.262852,0.850668,1.18093
0.470322,0.339395,1.0198
0.120715,0.970418,1.33554
0.26679,0.845749,1.20656
0.183448,0.930262,1.0826
0.492425,0.173406,0.9655
0.583485,0,0.115917
0.549948,0,0.764957
0.493772,0.157347,1.04642
0.251025,0.864839,1.10918
0.569636,0,1.01449
0.305266,0.791992,1.09962
0.390884,0.623569,1.11765
0.546925,0,1.00344
0.499302,0.0528198,0.815823
0.445955,0.452211,1.00611
0.432173,0.502896,0.674251
0.605798,0,1.0025
0.104162,0.97806,1.28538
0.512836,0,0.762979
0.246415,0.870126,1.20494
0.237355,0.880142,1.18844
0.559224,0,0.401416
0.470425,0.338826,0.603412
0.249026,0.867148,1.02456
0.325133,0.759706,1.26632
0.141586,0.959069,1.28145
0.0719297,0.989598,1.23985
0.194226,0.921469,1.0992
0.092041,0.982911,1.17345
0.129565,0.965842,1.30377
0.506022,0,0.437295
0.288659,0.81652,0.894343
0.582667,0,0.904656
0.407571,0.579261,1.0068
0.339797,0.733588,1.03066
0.324783,0.760305,0.953261
0.0428273,0.996325,1.2772
0.236392,0.881178,1.24359
0.172061,0.938925,1.11453
0.134811,0.962967,1.23683
0.429029,0.513553,1.04213
0.269309,0.84255,1.15827
0.210307,0.907239,1.38103
0.626477,0,0.187236
0.606928,0,0.559338
0.544606,0,0.382931
0.233627,0.884124,1.02039
0.174116,0.937409,1.11138
0.735441,0,0.174505
0.131799,0.964633,1.07217
0.1081,0.976349,1.26644
0.522112,0,0.587161
0.248275,0.868009,1.31968
0.378602,0.653178,1.06201
0.35913,0.695775,1.12347
0.234225,0.88349,1.17386
0.183255,0.930414,1.15234
0.209116,0.90834,1.016
0.459282,0.395271,1.07589
